[2026-09-10 12:24:18] === round 1: all twelve gates ===
[2026-09-10 12:25:07]   gate_capture_P_pts_lead rc=0
[2026-09-10 12:38:52]   gate_inbetween_P_pts_lead rc=1
[2026-09-10 12:39:41]   gate_capture_P_pts_ped rc=0
[2026-09-10 12:53:15]   gate_inbetween_P_pts_ped rc=1
[2026-09-10 12:54:04]   gate_capture_P_cont_lead rc=0
[2026-09-10 13:07:40]   gate_inbetween_P_cont_lead rc=0
[2026-09-10 13:08:29]   gate_capture_P_cont_ped rc=0
[2026-09-10 13:22:10]   gate_inbetween_P_cont_ped rc=1
[2026-09-10 13:22:59]   gate_capture_P_pts3_lead rc=0
[2026-09-10 13:36:11]   gate_inbetween_P_pts3_lead rc=0
[2026-09-10 13:37:01]   gate_capture_P_pts3_ped rc=0
